,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
150840,5,True,"05 27, 2015",A1KB2IX3MV2K8P,B000OZV1I6,Lorrie A. Yeschick,kids love these!,Five Stars,1432684800,,{'Size:': ' 40.5 Ounce Tub'},
331723,5,False,"07 21, 2013",A31CB15RJQ8O84,B001H828EK,C. Dubz,These do not taste exactly like regular pretzels. THEY ARE EVEN BETTER. These pretzels are delicious. They have almost a buttery taste to them. I could eat the entire bag in one sitting.,A little different but amazing,1374364800,,,
753252,5,True,"10 26, 2017",A20T4M25A7598V,B00F2GW4J2,George Brugess,It taste great!,Five Stars,1508976000,,{'Size:': ' 100 Teabags'},
873121,5,True,"06 22, 2016",A20CPJGFQHQL6U,B00O92OY48,Saqib Nisar,Amazing.,Five Stars,1466553600,,,
989521,3,True,"07 20, 2016",AJPQGRTRYKF1X,B01B86JSVQ,Louisiana MOG,"Order arrived two days ago. Decided that I would do sampling. Picked ginger orange flavor for first try. Upon opening package the aroma of ginger and orange filled the area around the  open package. There were approximately 6 medium size slices of jerky. The texture of the  slices were malleable, not hard like most jerky. Savored every bite but in a matter of minutes the jerky was consumed. I need to stifle myself otherwise the jerky snack will be consumed in a matter of few hours.my honest opinion: great snack but a little overpriced considering amount you get in each individual package. Second day of sampling: thansgiving flavor had overpowering flavor of sage with hint of cranberry. Not a compatible flavor for jerky.",Excellent flavor & texture,1468972800,10,"{'Size:': ' Pack of 4', 'Flavor:': ' Variety Pack'}",
994917,5,True,"04 2, 2017",AOZODD6LS3IGJ,B01C3LKPHQ,okbye,"The taste is excellent and calorie count is good. 80 calories each. They are small but bigger than a fun size candy bar. Satisfying too, there's enough chew that you feel like you've eaten something. Minimal sodium, which is a big deal for me. These things tend to be high in salt so I was glad to see that. The mint is refreshing but not overpowering. The chocolate is decent quality. I really like these a lot.",Very tasty snack,1491091200,,"{'Size:': ' 10 count (Mini Bar)', 'Flavor:': ' Chocolate Peppermint Patty'}",
113561,5,True,"07 18, 2016",AR3WLB657U9EJ,B000HDMXGO,Retired 2005,This is an excellent product.  This is not a candy for me.  I chew two after lunch and dinner to keep gas and bloating down.  The product works amazingly well!  Will continue to purchase because of the continued relief it provides!,This is an excellent product. This is not a candy for me,1468800000,,"{'Size:': ' 5 lb box', 'Flavor:': ' Original'}",
359706,5,True,"02 14, 2015",A1VOKS614WAI9F,B001SB8AZC,Gluten Free Oma,"Each can yields about 3 sandwiches. Mix the juices right in, there is no added water (much to the feline's disappointment). Excellent product.",Excellent product.,1423872000,,"{'Size:': ' 5-Ounce Cans (Pack of 12)', 'Flavor:': ' Light Skipjack'}",
538031,5,True,"07 6, 2014",A3H76E7PZQSDH5,B005MZIRS0,Hue Bayne,fine.,Five Stars,1404604800,,,
776696,5,True,"02 22, 2016",A33PGECIFE833Z,B00GOFSEGC,Robert Rollins,Love it great substitute for syrup,Five Stars,1456099200,,,
183685,5,False,"09 12, 2016",A14QHOU5LD2DMG,B000WV0RW8,James C. Wilkinson,"Great product & service!!! JW, Las Vegas.",Five Stars,1473638400,,,
1087627,4,True,"08 8, 2017",A1MZPPE2Q23CP3,B0098OC1TW,J. Rowdy,5 star flavor - Great real creamy caramel with whole sea salt pieces in the caramel. 4 stars because it is so expensive.,Great flavor,1502150400,2,,
66409,5,True,"05 20, 2014",A8LVI41BC3DWJ,B000ED4G6M,JeanneM.,My husband and I have tried different flavors and there are 3 that we both love and this one is #1.,Kool-Aid lovers,1400544000,,"{'Size:': ' .15 Ounce (Pack of 48)', 'Flavor:': ' Watermelon'}",
1012284,5,True,"06 30, 2016",A3QTM0YIWA1JTI,B01FPZ1O0Y,Tajsultani,good stuff,Five Stars,1467244800,,,
205985,5,True,"04 10, 2015",A3QXPCYTURRH7W,B0012OTF3Q,ricki48,great taste will buy again,Five Stars,1428624000,,,
2298,5,True,"06 1, 2016",A1295JW2NJGCVK,B0000DG5EE,G. N. Thayer,Best mustard in my world... My whole family is hooked!,Five Stars,1464739200,,{'Size:': ' Pack of 1'},
496660,5,True,"11 16, 2016",A2RB2FWZPSJO50,B004YZ43GE,Kamodo127,"You can tell when you get the product write from the manufacturer, u know it wasn't in a warehouse for 6 months before u bought it at you local store very nice and delicious",Fresh,1479254400,,{'Size:': ' 24 piece'},
422429,5,True,"09 7, 2015",A109IWB4XVD5O7,B003O7T87C,John,Good product.,Five Stars,1441584000,,{'Size:': ' 2.82 oz'},
1036116,5,True,"10 6, 2017",A225LKCZR6KH1Z,B000RA8DQ6,LoisA,Favorite fries. good transport.,Great fries,1507248000,,,
575593,5,True,"06 14, 2017",A2JVHZIK64Z6D0,B0071MCQ5W,The Reluctant Survivor,delicious,Five Stars,1497398400,,,
299837,2,True,"11 14, 2011",AJB5P7GVR0MT8,B001E4S8C8,Harry the Horse,"Happy I got in on the proverbial party before prices skyrocketed (despite them using a very small ratio of peanuts to filler). Overly sweet, not very peanutty, and certainly not something I'd grab for more than $2/jar.",Cloying,1321228800,3,,
844838,5,False,"01 17, 2015",A2F0E69BAX0T0T,B00L8P3JE0,Dan Leithauser,"Eschewing the trend of ""high protein"" and low sugar in many energy bars (with the use of whey compounds and artificial sweeteners), Bear Naked has created a tasty nutrition bar that delivers.  That delivery includes flavor, texture, nutrition and high satiety.  Not too soft, and not too hard, Bear Naked Chocolate Chip Peanut Butter is not quite a cookie and not quite a granola bar. Significant chunks of chocolate blended with nuts, oats, and enough peanut butter base to let all the flavors present themselves properly without any single one overpowering another.  At 250 kCal, along with a glass of water, you are set for at least a couple of hours--a great meal substitute on the go. Pleasingly the picture on the label actually matches what is inside.  Love em!",Everything you want!,1421452800,,{'Flavor:': ' Peanut Butter Chocolate Chip'},
948152,5,True,"05 7, 2018",A3PLYZZ3Q1C8VL,B0103IK4Z4,Barbara,So far so good!,Five Stars,1525651200,,{'Size:': ' 180 Count'},
414675,3,False,"03 9, 2011",A1Z0LTKUA6F94D,B003D87BXU,J. Miller,"This bars are ok, but aren't as good as the original.  It really just tastes to me like a rice cake drizzled with chocolate.  Not great, but what can you expect for 90 calories?","They're ok, like the regular bars better",1299628800,4,"{'Size:': ' 5-Count Bars (Pack of 6)', 'Flavor:': ' Chocolate'}",
607964,5,True,"04 14, 2012",AU7TT24FR2XC7,B008MOMYRI,Keoni,"I recently started with the coconut oil.  I tried the Louana product I got at the local Kroger.  No flavor, but it was a start.  After reading the various reviews, I thought I'd try this since this seemed such a reasonable price.
I am quite happy with it.  The coconut taste is fine and definitely different than the Louana, so I mixed the two to make it go further and make the Louana more flavorful and economize my use of coconut oil.",First try with virgin coconut oil,1334361600,,,
780900,5,False,"09 20, 2015",AKLEMONTARPYF,B00H29LREA,Howie,"Love it!  Such a fine, smooth taste and quality.",GREAT Coffee for your Keurig!,1442707200,,"{'Size:': ' 12 Count', 'Flavor:': ' Na Pali Coast Dark Roast'}",
410736,5,True,"03 29, 2015",A2Z1C6KHAOYF69,B0037AWVNO,Paula Kurpjuweit,"Theses are the BEST unsweetened dried cherries I've found.  They are plump and tart and compliment goji berries and various nuts and dried coconut mixes that I make.  They also go well with meat dishes, salads, cheese plates and quinoa.",Theses are the BEST unsweetened dried cherries I've found,1427587200,2,"{'Size:': ' 1 lb.', 'Flavor:': ' No Sugar Added'}",
874326,5,True,"07 12, 2016",A3QHQCZLWWQ8R5,B00OFBJZWY,Barbara J.,These were delicious and very fresh. Lasted quite a while in the fridge.,Five Stars,1468281600,,,
1098732,5,True,"10 2, 2014",A1LZ5HJPXIY9P1,B00CPHE0Z2,Kathryn,So delicious!,Five Stars,1412208000,,{'Flavor:': ' Coconut Oatmeal Bliss'},
277431,5,False,"07 16, 2013",A1Z7FZP81N8CDU,B0016BS3BK,RM,"I always thought of Ghiraradelli as the better chocolate, and for a reason. Nothing compares to chocolate done by them, it's simply the best chocolate I've ever had. I'm not sure why people gave this 1 star reviews. I have no problems with the taste in this mix, it tastes amazing!

However, I left it in the oven for 42 minutes and it came out with a crunchy sides. Next time I will try 38 minutes. They could also added more mix too, they came out more like 1 inch brownies. Overall, I was able to get these for $11 with a promotion. So great deal, I cannot complain as these go for $8 per box at my local store!",Cannot Go Wrong,1373932800,,,
387994,4,False,"10 2, 2014",A3KKM0T6GLA3A7,B002C0E5VG,Square,"Ordered packet which arrived promptly. Packaged appropriately. Since I knew this was a live (living) yeast sample I kept an eye out for the postman. When he arrived, I grabbed this from the mail box (I'm in Texas and I didn't want this yeast sample to be a loaf of bread by the time I got it out of the 125 degree black mailbox). I followed the directions exactly but the sample never kicked off. I contacted Breadtopia. They were prompt in their response and suggested I try a few things. Still, no luck. Breadtopia promptly apologized for the hassle and sent out a dry sample. This kicked off without issue and I made my first loaf of sourdough within a few days. I'm delighted with the taste of the yeast strain and the customer service of Breadtopia. THANK YOU Eric!",Good stuff all the way around,1412208000,,,
566898,4,True,"07 9, 2014",A1F2OUVZZG3KRC,B006N3HXIK,Kindle Customer,My granddaughters love this tea,Four Stars,1404864000,,"{'Size:': ' 24 Count', 'Flavor:': ' English Breakfast'}",
655646,5,True,"08 23, 2013",A2C9XE9I8RSKNX,B00BBQZM1O,JillinoisRN,"I'm very picky about sweeteners. I won't use sucralose, aspartame, or other artificial sweeteners (headaches and other medical flare ups when I use them), and I can't stand the taste of stevia.  THIS is good. It's sweetened with erythritol, and has a really nice peachy flavor that isn't too sweet.",VERY good,1377216000,2,,
966139,5,True,"11 30, 2016",A3CP9LMG5SM5KK,B0153O2H26,foofoo,Delish,Good,1480464000,,{'Flavor:': ' 3 Lb. Lemonheads'},
2357,5,True,"05 27, 2016",A2NLKK1DC1WXO6,B0000DGG8B,Diane Hepworth,love it,Five Stars,1464307200,,,
236989,5,True,"01 5, 2014",A1BE0JR188OFQQ,B000WS08UM,Bubbas Mommie,I bake and cook a lot and thoroughly enjoy using good quality products for great quality results. THIS is one of those products! The essence is that of FRESH lemon essence...it is uncanny it smells so fresh! Will never go back to the old standby that I have used for years....you know the one...no need for me to malign them...this is just so much better!,The BEST lemon extract I have ever used!,1388880000,2,,
220502,5,True,"07 8, 2014",A3B0C1HU55G8FH,B0015P54R8,Antonio,great product and great service.,Five Stars,1404777600,,,
1037813,5,True,"03 18, 2015",A1RSA134FSEVF,B000TTPQBA,Rica RN,I love vegeta!!!!,I use it in all my soups,1426636800,,,
152652,5,True,"05 18, 2014",AA5C47ISI0WMH,B000P6MSOU,NENE,"Good assortment of cracker and cookie snacks.  Could be less cheddar on cheddar and more chocolate and vanilla cookies. Otherwise, tasty.",Great Snacks,1400371200,,,
314935,5,True,"12 19, 2014",AZBMWCU371TH4,B001EO7G30,Dan &amp; T. Martin,"This spearmint tea comes in a pretty tin (great for storing cookies afterwards).  It has a fresh smell like the mint in one's backyard.  The tea is strong and tastes great.  See University of Maryland on spearmint and Hirsutism:  ""Spearmint tea (Mentha spicata), 1 cup two times per day. A preliminary study found that women with hirsutism who drank spearmint tea had less free testosterone (a male hormone) in their blood. The researchers thought that the tea might reduce symptoms of mild hirsutism. Another study found that spearmint tea lowered androgen levels in women who had PCOS.""  This tea helped me to be sleepy immediately.

This spearmint tin listed Egypt as the country of origin.  But on Tao of Tea website, the spearmint tin is labeled as From USA.  I'm confused as to where this spearmint is grown.  I hope Tao of Tea clarify this.",Smells great & taste good ... not sure WHERE this is grown?,1418947200,5,{'Package Quantity:': ' 1'},
642596,5,True,"12 30, 2013",A1TQLKE8P2191M,B00AR6OYCM,astar72,"I was skeptical about this tea, I mean, mint and chai??  Doesn't exactly sound like a match made in heaven to me, but this is not an overly spicy chai like masala.  To me it tastes like the chocolate peppermint bark people make at Christmas with milk/dark and white chocolate, although the mint flavor is much more...sophisticated, perhaps, than candy canes.  It's perfect- I ordered five boxes.  Seriously.",Amazing!!,1388361600,4,,
8337,5,True,"04 27, 2014",A1HDXZ7HGOJTHL,B000168QTU,Jeena,"This tea is excellent hot or cold. It has a nice true blueberry flavor with a little blueberry tartness, but not like the Zinger teas, which I don't like as much as this. These have a very natural flavor.",yummy!,1398556800,,"{'Size:': ' 20 Count (Pack of 6)', 'Flavor:': ' True Blueberry'}",
1033035,4,True,"04 3, 2018",A3OJ80UDE35TZQ,B000O0GLFO,Kit Smith,"Fresh, good flavor. But pricey.",good flavor. But pricey,1522713600,,,
85934,5,False,"01 13, 2008",A3L11WCNJ40GZJ,B000F959NO,Violet Black,"This mix, is a blend of leaves that are really fine, we made it in the coffee maker. I did purchase the cloth strainer, but that should be used for large amounts of tea. The coffee maker did just fine, make sure you don't use too much mix though, it's concentrated stronger than coffee is, so please take note of the instructions when it comes to measurement.

It tastes delicious, just like I like it. I did not have condensed milk though, so I had to use regular milk. I will admit you definitely need the condensed milk if you want it to be like the restaurant's style. But it had the same flavors, the regular milk tended to water it down a bit.
I sweetened it with normal sugar, everything was fine.

This is a nice size bag, you should have enough for awhile with this one. I recommend this if you love Thai Tea like I do..",Por Kwan Thai Tea mix,1200182400,10,,
162717,5,True,"04 18, 2018",A3LL5TMGX00LA1,B000SMN0DO,Virginia Knits,Perfect for a flavorful beverage when I want a coffee-like something that is better for my body.,Five Stars,1524009600,,{'Size:': ' 14 oz.'},
730597,5,True,"03 4, 2018",A301WX55QZJWL4,B008QMX2SG,D. Smith,My favorite flavor of all KIND bars offered.,Favorite Flavor,1520121600,,,
945034,5,True,"02 3, 2017",AX8PHRHP578WK,B00ZDZDFCC,L. V. Smart,Yum.  all gone in my tummy.,Yum. all gone in my tummy.,1486080000,,,
741414,5,True,"12 15, 2014",A16XHL44Q6V29N,B00EGXVG3M,vboyd,Taste so much better than any I've had.,Five Stars,1418601600,,{'Size:': ' 24 Ounce'},
86796,5,True,"02 24, 2016",A1Q5FIU1WYXJ81,B000FA8SH2,Me,My wife likes these,Very good,1456272000,,{'Size:': ' Pack of 3'},
306893,2,False,"04 28, 2011",A3UZ3WQO1TQ99W,B001E6KBSK,SirWired,"On a trip to Italy, muesli is what all the hotels had for breakfast as their cold cereal and I loved it.  Imagine how excited I was when I saw that Kellog's sold this product.  What did I learn?: despite the similar name, this cereal is quite unlike European-style muesli.  While the overall mix of grains and fruits is similar, this cereal is mostly a flake cereal, while a true muesli has no cereal flakes at all.

""Real"" muesli is made of rolled (not flaked) grains; this has pluses and minuses.  On the plus side, milk does not turn European mueslis to mush in a couple of minutes like it does flake cereals.  On the minus side, European mueslis have to be soaked in milk or yogurt for about ten minutes or so (i.e. while you are in the shower, or while the coffee is brewing) or the cereal will be a bit on the chewy side.  For those that are concerned about eating processed foods, rolled grains have been processed less than flaked ones.  (Rolled grains are lightly steamed and then rolled and lightly toasted; flaked grains are fully steam-cooked until they are mush, pressed into flakes, fully baked and then usually sprayed with sugar to extend ""time-to-mushiness."")  And certainly only the Kellog's product contains HFCS.

You owe it to yourself to try one of the many other mueslis from Amazon (or better yet, single boxes from a local health-foods store if you have one) and see what you prefer.  I eat the Bob's Red Mill product available on Amazon (and one of my local grocery chains) instead of this, and am much more satisfied.  I haven't tried Familia (but I'm not crazy about the idea of the ""fruit flakes""), and the Dorset products are too fruit and nut heavy for me.  The other products are a hair more expensive than the Kellog's, but I'm willing to plunk down an extra dime or so per breakfast for a far superior product.

I'm surprised Quaker doesn't sell a muesli product...  Given that they have to be the largest producer of rolled grains in the U.S., you'd think it would be a natural fit for them.",Nothing like actual Muesli,1303948800,14,,
975183,5,True,"04 18, 2016",AEOSCC170G469,B017BR91GI,Peggy McPherson,Price high but I love the taste and very filling.,Re: great taste,1460937600,,,
782122,4,True,"02 13, 2018",A2J7RCW2JRMPCY,B00H46RKP6,Valerie Steele,love them but always have to wait till price drops most of the time the price is outragous,Four Stars,1518480000,,"{'Size:': ' 6-Pack, 10.3-Ounce Boxes', 'Flavor:': ' Original'}",
119715,5,True,"04 14, 2011",A2QNLRET7XC93I,B000ILMQF8,Marjorie L. Swanson,"I love this flavor and ""cheese"" lovers will be delighted.

In an effort to lose weight and get away from potato chips I air pop popcorn and use this and Pam Butter spray to season it. It's great, good source of fiber and has few fat grams or calories. If you are a muncher, as I am, this is a good way to have your munch and lose weight at the same time.",Great flavor!,1302739200,4,{'Size:': ' 2.85 Ounce (Pack of 6)'},
862657,5,True,"04 18, 2016",A3PT0WYTL7JUFF,B00N26FRHA,J C,love them!,Five Stars,1460937600,,,
924920,3,True,"01 24, 2015",A35KP4ROS9KWPO,B00WBGKD9O,GJY,I wish this was 100% whole grain instead.,I wish this was 100% whole grain instead.,1422057600,,"{'Size:': ' 20', 'Flavor:': ' Angel Hair'}",
10442,5,True,"11 24, 2012",A1Q2N7EW324LIK,B0001CXUEK,Sweetie Kitty,"My son is allergic to chocolate and I found these. He says they are very good and he loves having ""chocolate chips"" again. I am allergic to carob so I cannot taste them and give my review. I am going off of what he says :) He gives them 5 stars. (He is 14)",Tastes great!,1353715200,3,,
900522,5,True,"06 19, 2018",A22BWXHVKJ3LBX,B00SBTIYGE,Blessedhunny77,Mannnn i jacked again and this time it was the dorms bruh but it good while they lasted. Lol,Lol hide from your roommates .,1529366400,,,
834144,5,True,"11 5, 2017",A1R1RN9N2EUPRZ,B00KKAJ25Y,Susan Cameron,Good spice,Great product,1509840000,,,
633760,5,True,"05 7, 2015",A37JFYY89VKUTY,B00A7K396K,Chiprj,"I used to regularly order a Kona blend coffee and use a reusable filter in my Keurig but once I found this product, I've switched to it and have it on subscription.  This coffee smells great and has a very bold flavor.",This coffee smells great and has a very bold flavor,1430956800,,"{'Size:': ' 24 Count', 'Flavor:': ' Kona Blend'}",
438261,3,True,"07 24, 2013",A2MUGFV2TDQ47K,B003ZRZN7K,Lynrie,I couldn't taste the berries or the kiwi flavors because of the artificial sweetener I'm overly sensitive to. It wasn't enough to trigger the usual headaches but I could taste it. Other indulgers were OK with it without complaint. It WAS on our Subscribe & Save list as requested by them. The first time we got this it was EIGHT BUCKS. The next shipment jumped to TWENTY BUCKS and I QUICKLY yanked it off our list!,Not My Favorite Hawaiian Punch Flavor,1374624000,,"{'Size:': ' 128 Ounce Bottles', 'Flavor:': ' Green Berry Rush'}",
866614,5,True,"05 11, 2016",A2RUQOHBT1X3X6,B00NG6PWPS,Karen,Excellent,Five Stars,1462924800,,{'Flavor:': ' Flavored Coffee Lovers'},
868263,5,True,"11 3, 2014",AF9ZRI1Y0YS5R,B00NMJ05W4,soda pop,Soo good thank you for not having artificial sweeteners etc.!!,Five Stars,1414972800,,,
639877,5,True,"09 5, 2013",A2C9XE9I8RSKNX,B00AKOGPXC,JillinoisRN,These taste like lemon bars that my mom used to make.  There's even a 'crust' (shortbread) flavor mixed with the lemony tartness. Very good.,Nice lemon bar taste,1378339200,,,
815010,5,False,"07 23, 2014",AUU1U43QU9I22,B00J2AX9DE,the college student,"These cookies are delicious ! I went to costco and purchased these for half the price, and they taste crispy, just like ones from the oven. I recommend for anyone who loves chocolate chip cookies and wants a delicious snack. The only problem is that I have trouble eating just one!!!too delicious",Just like fresh baked from the oven!,1406073600,,,
524,5,True,"10 23, 2017",A2NXRHXLARX1A4,B00008RCN8,Wayne,I would not survive without this gum.  It satisfies my sweet tooth while keeping me from eating stuff I don't need.  I really enjoy this gum.,Excellent Flavor,1508716800,,,
783274,5,True,"10 2, 2014",A3P8G7NWCFJ1FI,B00H69FTBI,Marina,"I eat these regularly. They are delicious, healthy, and a good price. There isn't much more to say.",and a good price. There isn't much more to say,1412208000,,{'Size:': ' 1 Bag of 5 Lb'},
1142648,4,True,"05 6, 2018",A1V1EP514B5H7Y,B01FSKNTHC,asiana,I always like trying new products from names I trust and enjoyed this crustless quiche.  The only drawback for me was that I was still hungry AFTER finishing my breakfast.,Tasty but not filling,1525564800,,,
574347,5,True,"12 24, 2013",A3HDHOV1Z2QFMS,B006ZQWKWE,Richard H. Garretson,"Great value for these.  I eat a lot of salads and the cost of adding almonds to most of my salads was pretty expensive, but with these large bags of sliced almonds, I can afford to add them by the 1/2 cup full at a time.  Excellent source of non-animal protein also.",Great value,1387843200,,,
949121,5,True,"11 6, 2015",A3IW229JSFW707,B010EHOEPA,EAL,This tea is excellent.  Most of the chai I've bought is lacking in depth and flavor.  This has a good body an the spicy taste chai should have. Will definitely buy again and explore other teas available from this company.,Best Chai I've Had,1446768000,,"{'Size:': ' 20 Tea Bag Sachets', 'Flavor:': ' Organic Masala Chai'}",
300344,5,True,"08 8, 2013",AEY8A9VS22BV4,B001E50UBE,Charles Johnston,As a single senior guy these are a marvel. I have tried 6 or more from Hormel and love them all.,These Compleat meals are a delicious marvel.,1375920000,,,
364885,4,True,"04 23, 2016",A58MQKN0HXSJJ,B001VNGNLU,Vika C.,flavorful tea,Four Stars,1461369600,,"{'Flavor:': ' Chamomile Flowers, German'}",
823870,5,True,"07 6, 2016",A1ABM6R10NX6J4,B00JVSSHX4,Capestan family,Best chocolate ever. Love to cook with it or even eat it as it is delicious and quite healthy,Best chocolate ever,1467763200,,,
1105077,4,True,"03 13, 2016",AW3A8DOV99HZV,B00F3BRHUW,Debbie,"Works great, taste good, don't over cook then not so good",Four Stars,1457827200,,,
1037153,5,True,"02 11, 2018",A4JLZJXD9EWKL,B000SAUVC4,worksmarter,1,Five Stars,1518307200,,,
458938,3,True,"08 19, 2013",A2DIJF6Y87M7MQ,B004BR88XE,donald smith,"i am used to sage that smells like it is thanksgiving.this is very mild,it is okay but why should i really complain it was really on sale and cost pennies.",not strong flavour,1376870400,,"{'Size:': ' 0.2500-ounces (Pack of 6)', 'Flavor:': ' Sage Rubbed'}",
1110535,5,True,"02 27, 2016",A3APL6QSBC36OL,B00HKL2EK6,Amazon Customer,Highly recommend. Great item.,Five Stars,1456531200,,,
995355,5,False,"07 25, 2016",A2OJSNFRZI9R1O,B01C7SGOWU,Stacey,Thrive Culinary Algae Oil has one very important point - you can cook at a much higher temperature! Olive oil has been looked upon as a healthy oil but cooking needs to be done at a lower temperature. This is a healthy great cooking oil. You won't be disappointed.,This is a healthy great cooking oil,1469404800,,"{'Size:': ' 16.9 Ounce', 'Style:': ' Launch'}",
1087976,3,True,"01 20, 2018",AU0H8HT3YWFS4,B009D3K65Y,Amazon Customer,Coffee beans should've been roasted a little more,Three Stars,1516406400,,,
647168,5,True,"11 18, 2017",A1LHD2R33TQ28B,B00AYGEFAG,Shan,Absolutely awesome flavor,Awesome,1510963200,,"{'Size:': ' 7.5 oz.', 'Flavor:': ' Buttered Popcorn'}",
974852,3,False,"01 3, 2018",A2NPF1LZ1S57JV,B0179XFQ5E,Sean Paradis,"If you are looking to add protein to your diet, this is a good option. Simply add water to these, and they are ready for the pan. They are low in sugar, and GMO free. To lower sugar levels and add more protein, I normally top these with peanut butter instead of syrup. These are slightly sweet, but on their own have little flavor, and have a slightly weird aftertaste from the whey protein. The peanut butter makes it less noticeable. For adding protein to your diet, I would recommend these.",Great way to add protein to your breakfast,1514937600,,"{'Size:': ' Pack of 6', 'Flavor:': ' Protein'}",
103900,5,True,"05 24, 2016",A23HT2OT34WH7,B000GW0U9I,k1,"Pretty good!!!!  if you're looking for a quick snack, these are great!!!! A+++++",Five Stars,1464048000,,"{'Size:': ' 1.25 Ounce (Pack of 10)', 'Flavor:': ' Hickory Smokehouse'}",
