,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
738,5,True,"07 5, 2014",A3GAYXUN80BG07,B0009RF9DW,{'Size:': ' 277'},Rosie,My aunt loves it!  I will get her some more when she runs out.,My aunt loves it! I will get her some ...,1404518400,,
2199,5,False,"09 7, 2017",A3VJ27010XUWTF,B0010ZBORW,{'Color:': ' Foot File'},C. Wong,This foot file is great. I used it only for my feet. I have diabetes so taking good care of my feet is high priority for me.  I do have a battery operated one already but this one is so convenient for travel and when the batteries start to run out. I tried it on both of my feet and it was gentle and effective  for work on my calluses.,Gentle and Effective Foot File,1504742400,,
4751,3,False,"04 14, 2013",A2068BC3ZXAVJQ,B00DY59MB6,{'Size:': ' 33.8 Ounce'},scesq,"I have problems with my teeth so my dentist really wants me to use some sort of dental rinse. I have tried a few of the Crest Pro Health products. This version is alcohol free and is geared toward people 50 and older but has the same active ingredient as the Pro Health Invigorating Clean Invigorating Mint  alcohol based mouth rinse. It does not have fluoride.

I wish Crest would better explain how this is different from the products geared toward people under fifty.  For instance people of any age can have plaque, bad breath and inflamed gums. I think most of the Crest mouth rinses work against these issues so what makes this special for people over 50.

I did find this sentence on the back label of the bottle. ""This rinse was selected for people over 50 because it is alcohol-free and provides a unique sensation.""  I am not sure what ""a unique sensation"" has to do with being over fifty.  If that is the only reason it seems like other Crest Pro Health alcohol free products would work the same.

I like the taste of this product. It does not have the bitter alcohol flavor that  many alcohol flavored mouth rinses have. I don't notice a unique sensation.

I am troubled that the only reason Crest lists for this being for people over 50 is it has no alcohol and has a unique sensation. For this reason I gave this three stars.",I Am Not Happy With the Explanation As to Why This is for People Over 50,1365897600,,
2097,5,True,"08 6, 2013",AZ4T3DDT8L9EQ,B000URXP6E,{'Size:': ' 30mla144'},Michelle Adams,THIS IS WHAT BODY GLOSS IS SUPPOSED TO BE LIKE... IT JUST SHOULDNT HAVE TO COST SO MUCH TO BUY,PERFECTION,1375747200,,
2437,5,True,"11 2, 2016",AMFBQ5BEYWC5T,B0012Y0ZG2,{'Size:': ' 8'},Amazon Customer,"This is a delicious luxury that I have been enjoying for many years. There is no other aroma like it. Makes me feel like a pasha, and want to break out my safari hat. Thanks to Amazon I no longer have trouble finding it. A dime sized dollop goes a long way, so even the smaller container lasts quite a long time.",My favorite shower gel.,1478044800,,
675,5,True,"03 22, 2015",A1QQHWTPZYIXM3,B0009RF9DW,{'Size:': ' 203'},D. Oldham,Sweet smelling bubbles and nourishing skin care!,Victoria Secrets Pink body wash!,1426982400,,
34,1,True,"03 27, 2018",A2V608ILSK1M5R,B00006L9LC,{'Size:': ' Small'},CDART815,My product was not sealed and either used or something.. attached are pictures. Would like a refund please.,Beware,1522108800,2,"['https://images-na.ssl-images-amazon.com/images/I/71qwEe9fFRL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/613pdv8QlbL._SY88.jpg']"
144,5,True,"10 20, 2016",A3KXVT8LE6X9LR,B00006L9LC,{'Size:': ' 561'},415sf,ive been using this cleanser for a few years now. i only found it in korea and brought a few tubes every time i visit (once a year). gentle but gets all the crap off. so happy to see it available stateside now.,gentle but gets all the crap off. so happy to see it available stateside ...,1476921600,2,
322,5,True,"07 27, 2015",AXF86QVFWFE4L,B00006L9LC,{'Size:': ' 10.1 oz.'},Janet Hobbs,Good product,Five Stars,1437955200,2,
3557,5,True,"03 18, 2016",A1BS75OBCJN3EA,B0012Y0ZG2,{'Size:': ' 1'},TG,"love this product - wish I could find it in the store, but it's great to be able to get here",love this product - wish I could find it in ...,1458259200,,
2197,5,False,"09 8, 2017",AIEEK7AHXKZCC,B0010ZBORW,{'Color:': ' Eye Pillow'},BeatleBangs1964,The eye mask does a good job of blocking out light and the delightful aroma of lavender makes for a very peaceful experience.  Using this is like a mental trip to a spa.  The lavender is a nice added touch that is as gentle to the nose as the mask is to the eyes.  It is also easy to clean and keep clean.  I had one of these several years ago.,Eye Spa,1504828800,,
677,5,True,"03 18, 2015",A1577W1CXJ2WI9,B0009RF9DW,{'Size:': ' 500ml'},Lori E. Hoover,Luv it!,Five Stars,1426636800,,
656,5,True,"06 14, 2015",A20K51AP7RX6V8,B0009RF9DW,{'Size:': ' 8'},David,Hard to find and expensive but I love this shower cream.  I first discovered it more than 10 years ago and I'm very happy to be reacquainted with it.  The best part about it is that it says with you all day.,Hard to find and expensive but I love this shower cream,1434240000,,
2725,5,True,"06 29, 2015",A1F1B2NU2TQAJV,B0012Y0ZG2,{'Size:': ' 70'},Jennifer Tschida,Would love theorizing as well. Not available at this time.,Excellent.,1435536000,,
273,5,True,"12 23, 2015",A2S696CI415O20,B00006L9LC,{'Size:': ' 11 fl. oz.'},Q.C. Stickler,I'm a fan!,I'm a fan!,1450828800,,
2121,5,True,"05 27, 2013",A32MXI9376X72P,B000URXP6E,{'Size:': ' 33.8 oz'},furga,"Not found often elsewhere, such as Sephora and other similar stores.
It's not cheap but it lasts for a long long time.",Huge! Really,1369612800,,
2047,5,True,"12 8, 2013",A2AHJ14T0JXO1M,B000URXP6E,{'Size:': ' 188'},Rachael Heade,My husband loves the bergamot fragrance and most of the local brands are mixed with other more feminine scents. This is just the bergamot and is great refreshing body wash.,Great for my Guy :-),1386460800,,
4071,5,True,"02 8, 2013",A1D18EJF6LHYDV,B0012Y0ZG2,{'Size:': ' 80'},Penny Allen,"I was nervousness about the scent because IVe never tried this, but I love Paul Mitchell so I decided to try it.  It smells great!!!  This is a medium hold spray, so I'll use it when my hair is down (I use a stronger hold when I put my hair up).  Shipping speed was good to Alaska too.",Smells great,1360281600,,
1637,5,True,"03 27, 2016",ASI6Y3IN52G9P,B000URXP6E,{'Size:': ' 351'},SeattleFamily,This is a fantastic loose eye shadow set! The pigmentation is phenomenal and the color choices are great! I love this set!,This is a fantastic loose eye shadow set!,1459036800,,
4395,5,True,"06 10, 2016",A2I3TOK508FLX0,B001OHV1H4,{'Size:': ' 1'},Amazon Customer,"Great product , price and fast shipping","Great product, price and fast shipping",1465516800,,
3254,5,True,"04 13, 2018",A2H1NTYWYYA0XM,B0012Y0ZG2,{'Size:': ' Multiset'},Antonio Gosain,"Divine smell, cleaning properties and after-use smell! 5/5 stars.",Five Stars,1523577600,,
2189,5,False,"09 11, 2017",A33PVCHCQ2BTN0,B0010ZBORW,{'Color:': ' Nail Brush'},VW,"I really like this nail brush from Urban Spa. The curved shape of the wood as well as the bristles makes it easy to grip when scrubbing under my nails. The wood is smooth and has a light finish on it. The thin row of bristles is cut short and it's stiff, so it really gets under the nails to remove garden dirt or anything else. The other side of the brush has a wider row of slightly softer bristles that clean the skin well. The brush dries quickly after use. Shedding is minimal. Overall, this is a handy little nail brush. I find it much easier to use than the plastic ones that are one-sided.","Handy nail brush, gets garden dirt out from under nails",1505088000,,
2981,5,True,"10 30, 2013",AT55FHUTTF5DM,B0012Y0ZG2,{'Size:': ' 328'},Loonytoon.,I always get compliments when I wear this perfume. It was delivered in a timely manner. It looked just like the picture. The price was nice.,I LOVE IT!!!,1383091200,,
1329,5,True,"04 28, 2018",ADW00ZRLWD3KG,B000URXP6E,{'Size:': ' Small'},Walaa,I received the shampoo because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the result from only just one wash. it cleared out the dandruff without drying my hair out. My hair felt smooth and Fresh after just the first wash. I tried aveda spray before but it was useless and waste of money,... because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the ...,1524873600,,
2505,5,True,"07 2, 2016",A1L887BYCTVXH6,B0012Y0ZG2,{'Size:': ' 463'},Aidan D.,Miami is my favorite,Five Stars,1467417600,,
3235,5,False,"05 5, 2018",AKFUG2XFPPWWM,B0012Y0ZG2,{'Size:': ' Small'},Donovan,10 stars right here. This product helped me with my itchy skin and my sister's greasy hair complain.,Five Stars,1525478400,,
4779,4,False,"08 12, 2014",A2WW57XX2UVLM6,B00EYZY6LQ,,Talvi,"First off - I love the scent. A hint of flower and mint makes a great combination that doesn't overpower and is gone by the time I leave the door in the morning.

I do have very fine hair and this works great. I wouldn't recommend it for thick hair - you'd have to use far too much of it. But for thin hair that gets limp fast if the product has too much wax/silicates, this gives volume without weighing down hair.  I didn't have to use a lot of styling products afterwards that always seem to make my thin hair stiffen and flatten.

A small ball rapidly expands as you put it in your hair, so a little goes a lot way.  I use this on days when I need a bit of extra conditioning - for meetings and such.  It is more expensive than store bought conditions but on par with salon varieties.  And I do trust the Fekkai name.",Works Well For My Thin Hair,1407801600,,
3133,4,True,"08 12, 2014",A1VTPPQNT23IU8,B0013NB7DW,{'Size:': ' 7 Ounce'},Birgitta L Ramsey,Really does the job. One of the best. Quality of the product is excellent.,Preshave lotion,1407801600,,
2596,5,True,"02 21, 2016",A8B6JCPLPWVK5,B0012Y0ZG2,{'Size:': ' 70'},DLS,"Love this product! The scent is subtle, fresh and it leaves your skin feeling soft.",Great fresh scent!,1456012800,,
1900,5,True,"12 15, 2014",A2H99IQJ0JT4MU,B000URXP6E,{'Size:': ' 143'},karen stanley,Love it,Five Stars,1418601600,,
2178,4,False,"10 7, 2017",A1AEPMPA12GUJ7,B0010ZBORW,{'Color:': ' Sea Sponge'},Glenda Boozer,"I don't think I've ever had a real sponge like this before, and it's great for having my back scrubbed. It does not irritate my skin, and it feels good. There's one side effect I hadn't thought of - the cat attacked it like it was alive and he was determined to kill it. I had to take it away from him and put it where he couldn't easily get to it. My own little pet skeleton, right?",I don't think I've ever had a real sponge like this before,1507334400,,
2859,5,False,"09 20, 2014",A37DCOJBXHTODF,B0012Y0ZG2,{'Size:': ' 214'},LUVSTAWKIN,Love it!,Five Stars,1411171200,,
2480,5,True,"07 26, 2016",A3RQS9GT66TEB8,B0012Y0ZG2,{'Size:': ' 43'},W. Schilling,I like the way it cools my head and cleans my hair,Cooling,1469491200,,
1887,5,True,"01 12, 2015",A2SUH2N8051BES,B000URXP6E,{'Size:': ' 12-Ounce (Pack of 3)'},M. Striffolino,Wonderful fragrance. Love It.,Five Stars,1421020800,,
223,5,True,"03 25, 2016",A2JPJPB0A1TQTY,B00006L9LC,{'Size:': ' 392'},DeWaun Mack,Excellent! Best soap I ever had.,Best soap,1458864000,,
923,5,True,"01 1, 2017",A250XH0NBH6AHN,B000FI4S1E,,deborah c. mcclellan,This product is very gentle on my skin,Five Stars,1483228800,,
2152,5,True,"02 23, 2013",A24FALIPWP6850,B000URXP6E,{'Size:': ' 340'},Daniel Smith,"I wanted to get my 75 year young mother something she would enjoy & not be upset about the cost-(she worried about me for 35+ years) when the package arrived & she saw that mixed w/ my normal items (tools,blades,knives-ect)was a package of some lavender smelling something, she said, as most mom's say-""I hope you didn't spend much on anything for me""-after she used the soap & walked into the living room, she said ""what a wonderful soap & such a thoughtful gift"" I know my mom loves lavender (I smell like wood most of the time) she still remarks on how well she enjoys the soap & it does have a long lasting fragrance- if any of you men out there, have a mother,daughter,sister or wife, that likes lavender & relaxes when they do what ever women do in the bathroom- you will make some points by investing a few $ in this soap- such a simple thought w/ wonderful results- Thanks once again Amazon & thanks EO for a wonderful product",EO Lavender & Aloe everyday soap,1361577600,2,
4917,5,False,"08 28, 2017",AKMEY1BSHSDG7,B00W259T7G,"{'Size:': ' 250 Gram', 'Color:': ' Tiare'}",J. Arena,"I will most definitely be back for more! This soap is the most unusual bar soap I have ever used. Just the weight of the bar tells you it is different from anything you've ever picked up in the drug store. The lather is rich, the scent lingers but in a very soft way, and it simply left me feeling so fresh. Slowly but surely, I'll be trying every scent in this line. I'd love to use them as sachet to give that same subtle freshness to my clothing!",Such a feeling of luxury!! :),1503878400,,
1365,1,True,"03 27, 2018",A3IOV1NJ4IM2HC,B000URXP6E,{'Size:': ' Small'},E,"Throwing it away, burned my scalp.",One Star,1522108800,,
5244,5,True,"02 2, 2017",A3A8F2URN7MEPR,B00VARTPKS,,Sheila T.,My favorite powder!,Five Stars,1485993600,,
4293,4,True,"03 9, 2017",AIQ0ABOHK58F6,B001OHV1H4,{'Size:': ' 28'},Caridad J.,Very happy with my first time using it my hair was manageable,Four Stars,1489017600,,
1533,4,True,"09 21, 2016",A2WNVJ6S7OVZP4,B000URXP6E,{'Size:': ' 15'},Amazon Customer,It worked very well i disliked nothing,Four Stars,1474416000,,
1761,5,True,"08 27, 2015",A1MBLC4ZSP4QEB,B000URXP6E,{'Size:': ' 52'},Richard A.,great product,Five Stars,1440633600,,
4987,4,False,"03 28, 2013",A2OCDK0BOW6UCY,B016V8YWBC,{'Size:': ' 4 Ounce (8 Count)'},Antigone Walsh,"This is a great little soap. It is gentle enough to use on the face as it contains both moisturizing cream and mild exfoliants. As it is marketed to men,it has a strong woodsy/green aroma. I personally prefer the freshness one finds in most men's fragrances. I liked this one but  less is more. Although the scent dissipates somewhat, it is still quite noticeable. Therefore, I think it is better used as a body bar than a facial cleanser.

My experience with Dove products has been positive. They are good quality and reasonably priced. I think most men would be receptive to skin care but I think that subtle fragrance is more appealing than aggressive perfumes.",Strongly Scented Soap,1364428800,,
3226,5,False,"05 12, 2018",AUS96J3A7A9MK,B0012Y0ZG2,{'Size:': ' Small'},Kirk Wiper,"Got both products from this seller, shampoo and body wash. Both - top notch. 5 stars",Selenium is awesome!,1526083200,,
5170,5,True,"11 7, 2016",A121C9UWQFW5W6,B00CQ0LN80,,Barbara Wallace,Just what I wanted and it arrived early,Five Stars,1478476800,,
2942,5,True,"02 4, 2014",A31XUJMEDBUGKR,B0012Y0ZG2,{'Size:': ' 23'},Terry V.,"Beautiful Beginnings have been the answer to my prayers when it comes to my daughter's very thick and curly hair. The shampoo, Detangler and Conditioner work like a charm together. Her hair was breaking too much prior to me using these, not, I only get a few strands when am all done washing and combing her hair. I can't seem to find them in the local Sally Beauty Supply nor grocery stores. Highly recommend!",Works great!,1391472000,,
2544,5,True,"04 23, 2016",A19AWUK1MWTJEN,B0012Y0ZG2,{'Size:': ' 281'},Jan Monte,"Great lather, delicious smell and really cleans!",Love this stuff!,1461369600,,
1508,5,True,"11 12, 2016",A2SEHJL7RHNW0Q,B000URXP6E,{'Size:': ' 364'},Bob in Columbus,"Purchased this for my wife, she loves the product.  She uses it very night, can see a difference in her skin.","Purchased this for my wife, she loves the product ...",1478908800,2,
3695,5,True,"08 7, 2015",A274J0XAP9U68Y,B0012Y0ZG2,{'Size:': ' 6.7 Oz.'},Francine Johnson,Nest products are the best. A bit pricey but worth the price.,Five Stars,1438905600,,
2755,5,True,"04 29, 2015",A1NP222Y17P9N3,B0012Y0ZG2,{'Size:': ' 290'},Nancy May,Wonderful product and quick delivery!  I couldn't be happier,Five Stars,1430265600,,
4744,5,False,"12 2, 2013",A1QBOC76MIOJYP,B00CZH3K1C,,MyPenName,"Overall, this is an amazing value and an awesome kit. The toothbrush is just wonderful and comes with plenty of heads for different cleaning/issues.. The mouthwash is a smaller sized bottle, but plenty to see if you like it and if it works well for you. Toothpaste and floss are full sized. This is a mouth transformation kit. If you have gum issues, or just want to take better care of your gums, this is the kit for you.

Previously I was using Sonicare Diamondclean and I was in love with it. Once I tried this Oral B toothbrush, I gave up on my Sonicare. I am 37, I smoke cigarettes, drink A LOT of energy drinks, and have braces. I NEED extra gum care and this toothbrush along with the mouthwash and toothpaste give me that. I would say that the toothbrush alone has made a big difference from when I was using the Sonicare.

I love that I can actually feel it working on my gums. It really feels like a gum massage. The smaller part of the head that moves separately is an awesome addition. That is where I feel the extra attention and the gum care. My teeth feel SO CLEAN after brushing with this one. I like that it is a more vigorous cleaning than with the Sonicare. It actually took me a long time to get used to the gentle cleaning that Sonicare toothbrushes give. I had been using Sonicare for about 10 years, so eventually I got used to it, although I never really did feel like they were really scrubbing as much as I liked. My teeth felt clean, but there was just something missing. This Oral B fills in the gap and gives me everything I am looking for, and then some. I just feel like my whole mouth is clean and fresh after using the Oral B.

The mouthwash is great for gums. I put some in my Waterpik (half mouthwash/half water) and I can tell a difference in the health and appearance of my gums. I do not get sore spots anymore and the sensitive areas are gone. Because of my braces, I tend to get gaps between my teeth down at the gumline. Debris get in there from eating and it can be painful and stay sore for a while. This mouthwash in the Waterpik really helps with all of the irritation.

The toothpaste is pretty good, although I think I will stick to my regular whitening toothpaste. I like a bit more bold mint flavor and I do need the whitening benefits due to cigarette smoking. Otherwise, it seems like a good toothpaste. It is a smoother mint flavor and seems to have almost a soothing effect on sore areas of the gum and mouth, so that is a plus when needed.

Mainly, I am just super impressed with the toothbrush. I had also tried the Oral B 7000 (black) but I much prefer this 5000 version. The 7000 was very impressive and the first Oral B to really make me switch from Sonicare, but just too loud. The 5000 here in this bundle just provides a better experience overall, without all of the noise. I thought the 7000 would end up being better, but it is not. It is sleek looking in black, but I just prefer the 5000 - I mean I really LOVE IT. The attention to the gums and the way it cleans so thoroughly and literally reaches every surface of the tooth, (even all around my braces!!!) is just amazing.

If you are going to invest in a good toothbrush, this is THE ONE to buy. if you need the extra gum care and attention this is the kit to buy. You can buy the toothbrush separate if you do not want all of the extra products, but for the price, you might as well get the bundle and try out the mouthwash, toothpaste and floss and see how you like them.

I do not intend to go back to Sonicare after having used this Oral B. I NEVER thought I would say that.",Amazing cleaning and gum care,1385942400,,
2077,5,True,"09 13, 2013",A13PKMKQ0177SH,B000URXP6E,{'Size:': ' 366'},cara luter,I have been wearing this fragrance for years and the body cream luxurios. In fact I wear it alone for a longer lasting and subtle effect.,Great value!,1379030400,,
4346,5,False,"10 19, 2016",A3JQ30S858QNER,B001OHV1H4,{'Size:': ' 561'},Joseph D. Drypolcher,"So excited to see this on amazon! I found this hem while traveling and couldn't find it anywhere when I got him, this scrub is seriously the best. Gentle and effective.",The best scrub,1476835200,3,
3631,5,True,"11 17, 2015",AH95EJ2HK06Q2,B0012Y0ZG2,{'Size:': ' 328'},S. Harbour,"I love this scent, and it's no longer being made.
I'm always on the hunt for ""something like it.""
It reminds me of the 70's fragrance, ""Golden Autumn"", also not being made any more.
Today's scents hit my nose in the wrong way, they are either too ""piquant"" with heavy tones of freesia, or too much like bubble gum.
I spent the money and bought Channel No. 5 thinking, I'd just sort ""move up"", and while it smell great at first blush, it turns into just a baby powder smell on me. I can get baby powder for a lot less.
If the fragrance gods are listening, please recreate this or something like it! I always get compliments on it.",Wish this was still being made,1447718400,,
1424,5,True,"05 15, 2017",A3JJ3GK8Q39TDE,B000URXP6E,{'Size:': ' 6'},Katrina Jones,Use regularly. love this product.,love this product,1494806400,,
1130,5,True,"05 28, 2014",A1AKH1GJBE5CX5,B000FI4S1E,,Terra,My aunt bought me this lotion from a Ross store last year for Christmas and I loved it. This is kind of expensive on Amazon but I still love it and Amazon is the only place I could find it. I will use it up slowly and carefully. Love the way it smells!,Kinda expensive,1401235200,,
2491,5,True,"07 14, 2016",AMXYXIWW74J4,B0012Y0ZG2,{'Size:': ' 1'},Lesli,Love this stuff! Works great when flat ironing my hair and it smells great!,Love this product!,1468454400,,
