,overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image
1853205,5,,True,"03 10, 2017",ACFZ1MNI9JSEI,B019KHFESQ,Betsy Kantrowitz,"Well made, snaps into the ring in the cargo area of my Prius V. I like that length is adjustable. Used a padded harness along with it for safety and so my dog would not be rubbed under her armpits.",I like that length is adjustable,1489104000,{'Color:': ' Black'},
650145,3,,True,"08 9, 2015",A2INBKDX3PZD63,B000X1L3C0,JanetB,"Our two dogs love them, but I'm concerned that they are made in China.  I probably won't buy them again because of that.","Our two dogs love them, but I'm concerned that they are made ...",1439078400,"{'Size:': ' Large, 2-Pack'}",
48479,5,,True,"12 18, 2014",A21TMM8NQOLA79,B000255OIG,nem518,"My dogs LOVE these treats. Be careful not to feed more than a few a day though, depending on the size of the dog. Liver is very rich and can cause loose stools if the dog eats too much. I like to supplement my dogs' raw meals with this when I run out of fresh liver. They like the treats better than the fresh liver anyway.",Dogs love them!,1418860800,"{'Size:': ' 14 OZ.', 'Flavor Name:': ' Beef Liver'}",
717290,5,,True,"07 14, 2014",A36968YA3BJUVT,B0015B3NJ8,Fataah Ewe&#039;,works for us,Five Stars,1405296000,,
1019557,5,,True,"09 4, 2016",A2QBW35C20KD7K,B0047LFDQO,Valerie Cipriano,Wonderful,Five Stars,1472947200,{'Size:': ' Medium'},
1017858,3,,True,"05 25, 2016",A3V3O267KQDO4Y,B0045Y1JH0,Diane Peabody,"Initially it was great - less cumbersome than the old school plastic cone.  Our Labrador puppy was even able to use it as a pillow prop for her head/neck.  After about a week of use, two of the 3 black loops (where to put the collar in) came partially undone.  Again, this wasn't too big of a deal, nothing a little needle and thread can't fix.  But then after about 10 days, it began leaking and wouldn't stay inflated.  Our dog was 10 months old when she was spayed.  Quite a bummer that it didn't even last the two weeks that she needed.",Flat Collar,1464134400,"{'Size:': ' Large', 'Package Type:': ' Standard Packaging'}",
1054275,2,,True,"09 21, 2014",A1V7NUBR5X2EFP,B004MYPQTU,Kindle Customer,did not get the odor out of an oriental carpet. had to have professional cleaning.,Two Stars,1411257600,,
1076183,5,,True,"05 22, 2018",AJFW74A2HPCBI,B004XLBVGE,J M LALIK SR,Our three (3) dogs love them.  I would recommend this product!,Five Stars,1526947200,"{'Size:': ' 15-Ounce', 'Flavor Name:': ' Premium Chicken Jerky'}",
1075850,5,,True,"03 4, 2013",AOL9OEXC2ZJ4R,B004XHDIRS,Tiffany,I didn't realize how big this nap sack would be. Only having 1 ferret. But it's amazingly soft and big. Plus my ferret loves sleeping in it!,Soft and Big!,1362355200,"{'Size:': ' 16x14&quot;', 'Pattern:': ' Nap Sack'}",
310050,2,,True,"03 11, 2014",A2AEA0RMFVKQW1,B0009YS90K,puppet master,"What can I say about this, it's a waste of time. Takes more time to use this then keep refilling a normal water bowl... way longer! First off the holding tank doesn't even fit under faucet so I have to use the spray nozzle to fill it up. Once full it weighs like 30lbs then I have to carry it to the base and try not to have it start spilling out as I flip it upside down onto base. If your dogs are like mine the water dish will be filled with grass and dirt and other debris way before the water is empty and needs to be refilled. The water also gets very stagnant and moldy smelling before it is empty, and I have 3 dogs so it doesn't take long for them to drink it all. Total pain trying to wash out the holding tank. I can't wait for it to break so I can go back to using a normal bowl. Complete Joke!!",Don't waste your money,1394496000,{'Size:': ' Elite'},
143807,5,,True,"01 17, 2015",A3PHLFQ0L3B4NS,B0002DGL3K,bible1,good,Five Stars,1421452800,"{'Size:': ' 8 Count', 'Package Type:': ' Standard Packaging', 'Style:': ' Roast Beef'}",
1128446,5,,True,"02 18, 2017",AGEWZXO52SRJI,B005F3FCSM,Viewer,Great product.,Five Stars,1487376000,,
1867572,5,,True,"06 27, 2016",A35L6MOIVTB3I5,B01ASUNVFC,Bluesmo,Easy and compact.  Good size for a medium dog.  Material quite study.  Overall very satisfied with bowl.,Great for travel,1466985600,"{'Size:': ' Large, 48 oz.'}",
1409205,3,2,True,"11 7, 2016",A4ZMDBY2T2R5M,B00DWT7OHS,markcastellano,shipping sometimes too slow need to improve may have to switch brands have eght dogs counting on these slow shipping dates.,shipping sometimes too slow need to improve may have to ...,1478476800,{'Size:': ' 33 lbs'},
778265,5,,True,"03 17, 2013",AKGAVL3B83ZEW,B001AT9H40,Mutt puppy,My poor mutt loves these treats. He has really bad joints and this is the only way he will take the meds he needs.,Dog treats medicine.,1363478400,{'Size:': ' XL Dogs'},
501063,3,,True,"06 12, 2015",A1N2ER3VVKTRRL,B000UCH02O,Kindle Customer,"Worked some what but ran out quick, maybe 30 shots each. I'm going to try a c02 bike tire filler next.",ran out quick,1434067200,,
1869502,5,,True,"03 30, 2016",A12MWB9NFZRRPV,B01AXGZY9W,JessicaisaMessica,They are smelly. I hear that alot on reviews about aquarium fake plants. They are still cute and provide good cover for my guppies and corys,They are still cute and provide good cover for my guppies and,1459296000,,
1728560,4,,True,"06 16, 2014",A3NGAQKJ6X088B,B00X1TMNWU,R. Beckmeyer,"my dog loves this ball, we play fetch with it, but she ripped up the first one rather quickly, but once she grew out of her teething stage she didn't rip up the 2nd one",puppy ripped up the first one,1402876800,,
462427,5,,True,"08 24, 2014",A1NT2E88BSMB2W,B000NVBVCC,jeanne M.,"This food is wonderful. I was using the frozen, but started running out of freezer space and when I traveled it was difficult to find. Now I just put a couple bags of the freeze dried in my suitcase and I have my dogs food for the trip. Doesn't weigh much and she seems to love the freeze dried as well as the frozen. It's a great, natural food with excellent products.",Great Dog Food,1408838400,"{'Size:': ' 15-Ounce', 'Flavor Name:': ' Rabbit'}",
746670,1,,True,"12 1, 2016",A2JHRJRG3PSBLJ,B0009YD8OC,br jennings,"Our dog fussed and fussed trying to pull it off of his muzzle. He tried so hard getting it off he scratched the skin on his nose causing him to bleed. Needless to say he won't be wearing this anymore.

NO RETURNS ACCEPTED. BUYER BEWARE!!!!!!!",NO RETURNS ACCEPTED. BUYER BEWARE!!!!!!!,1480550400,,
479268,5,9,True,"06 4, 2015",ANQ3PKJ7T4R8R,B000OX89XI,Dan,"This crate is HUGE. Its kinda hard to visualize based on the dimensions alone. I definitely recommend getting the model with the additional side door. We got this for our 70lb Yellow Lab as his ""Dog Palace"". He can stand completely upright and stretch all the way out.",I definitely recommend getting the model with the additional side door,1433376000,"{'Size:': ' 48-Inch w/ Divider', 'Style:': ' Double Door'}",['https://images-na.ssl-images-amazon.com/images/I/718nT-0gDPL._SY88.jpg']
181331,5,,True,"12 26, 2009",A30IO16J1Y2D1D,B0002DK4IS,Susan,"So glad I purchase the bone storage for pet toys.  It fits all the toys and looks good.  Finally, I feel I made a good purchase!",Bone Perfect!,1261785600,{'Size:': ' Large'},
1562212,5,,True,"08 16, 2017",ACTR4Q82L6VRI,B00L3JJF6W,mama j,Awesome product and favorite for gargoyle and crested geckos,Five Stars,1502841600,,
1426547,5,,True,"08 17, 2015",A2A5YA6AFQ7BAR,B00EKL34BC,Shannon F,"This is a plush, soft bed. Now, if I could just get my little guy (4lb. Chihuahua) to go in it. I'm sure when the weather cools off, he will love this!",Cute Bed!,1439769600,"{'Size:': ' 19""L x 15""W x 8""H'}",
291165,5,,True,"05 14, 2013",A33J4UNRFWPSDH,B0007A0AQW,E. Smith,"I assume these contain heroin, as my dogs go nuts for them. They smell good to me, but certainly haven't tried them.",The dogs sure love them,1368489600,"{'Size:': ' 6 oz', 'Style:': ' Chicken Recipe'}",
509074,4,17,True,"02 9, 2011",ADJ8OWJHYSCYH,B000VKA92I,Fog Dawg2000,"I have a dog that i show and he injured one of his rear legs. Had him x-rayed and could find nothing wrong they put him on anti-flamitories and after a few days he stop limping then maybe 3 weeks to a month later i would see him limping again. Not that often but he would limp occasionally. First time i tried this stuff i payed way to much for it at a pet store now i buy it online for almost half the price. I haven't seen him limp since he's been on the stuff. He did how ever hurt his leg again playing really rough outside. I could tell the way he was walking and not puttin wieght on it that he had injured it again. It didn't bother him near ass bad though. Before the end of the day he wasn't limping any more. I can really tell this stuff works. I've tried lot and lots of supplements, especially glucosamibne and chondroitin sumpplements the ""K9 Liquid Health"" by far works faster and better than any i've ever used with my dogs.",seems to be working,1297209600,{'Package Quantity:': ' 1'},
1799905,5,,True,"08 17, 2017",A1HRZO4FHO7BO5,B014JZKVCS,Kim,My dog love this toy,Five Stars,1502928000,,
2093684,5,,True,"11 3, 2017",A24N4IW6F046QD,B01E6XZ9DY,Amazon Customer,Nice,Five Stars,1509667200,,
573636,5,,True,"01 25, 2013",A2PEFI43S1MYPS,B0012NV9NQ,K.A.,"I love this! It's soft all around and my puppy doesn't mind wearing it. Color green is exactly as pictured.

For sizing reference - size Small fits my 4 month old westie puppy (head opening is just right for him at this age) with very little room to grow. Will be ordering a size M for him later.",Nice quality product,1359072000,"{'Size:': ' Small', 'Color:': ' GREEN', 'Style:': ' Puppia Soft Dog Harness'}",
1145446,5,,True,"05 26, 2017",A3E3A47C67YQYM,B005MYI1K0,Amazon Customer,really protects the doors well,Five Stars,1495756800,{'Color:': ' Hampton Sand'},
368502,3,,True,"11 9, 2016",A21GAKAWS5K1BR,B000FGIUV0,Skyhook,"Dog Chewed right through it. Quality was good, I just had a destructive puppy. Functioned as designed.","Quality was good, I just had a destructive puppy",1478649600,,
1447652,4,2,True,"07 21, 2017",A2LSSZ20MTEQMT,B00FPKNRF0,Amber Leigh Black,"I really wanted this bowl to work for us.  My dog is an aging pug and she has taken to swallowing her kibble whole, and choking on it in the process but not really slowing down at all.  I thought this bowl would do the trick. Now, I think it is worth mentioning that my dog got all the beauty (subjective, I know) and none of the brains.  So, this bowl was quite the challenge for her.  So much so that she didn't even get to use it once because it was just too painful to watch.  I'm sure that a brighter pup, or really any other dog could figure this out, but it just didn't work for her.  My solution is just to put a Kong ball in the food dish with her kibble and she has to eat around the ball.  It works much better for her.",Great bowl for any dog besides mine,1500595200,"{'Size:': ' Small', 'Color:': ' Teal'}",
606035,4,,True,"10 29, 2016",AXHX6T7Y5EK9Z,B0016H2G8U,Kimmie D,This works well for my dog that has mild to moderate fear of thunderstorms. It does take more than an hour or two to kick in so you want to give it as early as possible.,Good product,1477699200,,
1977405,5,,True,"04 1, 2018",A3MWM53Q1MGEGU,B0010OTJIY,rky222k,Used in a Paludarium build. Used mixed in with EcoEarth then adhered to the silicone layer of the back wall construction between the rocks and driftwood. No mites or bad smell from the bag I purchased like some of the 1 star reviews had issues with.,Used in a Paludarium build.,1522540800,{'Size:': ' 24 qt.'},
909795,5,,True,"06 15, 2017",A2HP34EPERRIRK,B002CG3L9M,Amazon Customer,So far so good. Thankyou!,Five Stars,1497484800,{'Size:': ' 5 to 15-Gallon'},
34978,5,,True,"03 19, 2016",A2GIZ18XIMRKS6,B000255N14,MYoung,awesome,Five Stars,1458345600,{'Size:': ' 32-Ounce'},
1708655,5,,True,"10 14, 2017",A1LIEZDLKWANW7,B00V8IY2VQ,Archer1,"This is a great product. The exterior is soft and a little rubbery, keeps the water from soaking through the rain coat and getting my dog wet! The interior is a soft fleece. This is not a super-warm coat- it's primary purpose is as a rain coat- but this interior material will help with warmth when it's raining. I got a medium for my spaniel, who is about 20 pounds. It fits about as perfectly as I could expect a dog coat to fit- maybe a tad tight around the arm holes. But if it's rainy, we won't be outside for long, anyway. I really like that there's a hood and the Velcro underneath keeps his whole belly dry- so many dog rain coats just have a strap underneath. It happened to be delivered on a rainy weekend, so the raincoat got a lot of use right away and definitely did its job.",Very satisfied with this product,1507939200,"{'Size:': ' Medium', 'Color:': ' Blue'}",
571502,5,,True,"04 16, 2015",A22HFC2BD2T48,B0012NV9NQ,Christen,Exactly what I wanted!,Five Stars,1429142400,"{'Size:': ' Red - Medium', 'Color:': ' RED', 'Style:': ' Puppia Soft Dog Harness'}",
509609,5,,True,"12 20, 2015",A1D3DJ6HVMD12V,B000VOE3QW,Bluehelix,My budgies love this stuff,Five Stars,1450569600,{'Size:': ' 12-Count'},
1567979,5,,True,"08 6, 2015",A15CIRLEGDM1I1,B00LH4AXLO,szserai,"Was using Earth Rated previously but when comparing size/price decided to try these. They are just as good and priced lower. Tried them and really hold up, nice and roomy. I got the 500 ct roll and also the 360 ct pack, great value !!",AWESOME PRODUCT,1438819200,{'Size:': ' Scented'},
1715067,5,,True,"07 27, 2016",AMVWE94S48IOJ,B00VW8KSLU,Bill McElroy,"This carrier works just as advertised.  We have a toy schnauzer, and it fits him just great!  And he can now go pretty much anywhere that his daddies do.",GREAT CARRIER FOR SMALL DOGS!,1469577600,,
782564,4,,True,"08 26, 2014",APMQ8V6JGNLMF,B001B41TOK,Stacey,"*crackle crackle*!!  If you are ok with hearing what sounds like your cat traipsing on plastic bags in the middle of the night, you will be ok with this product.  If not, make sure it is far away.  My cat seems a bit too chunky to really run through this, but she does like going inside it and sticking her head out the hole, and creeping back and forth through it.  It is basically one step up from the cardboard boxes that she usually likes to lounge in and lick, so I think overall it went over pretty well.",Unleash the crackle!,1409011200,{'Style:': ' Crackle Chute'},
1709622,4,,True,"03 8, 2016",A30QRUEU84M6EU,B00VBYWAI4,Ixi10,"This is just your ordinary poop bag. Nothing special, nothing bad. It's a bag and it works. My only comment is that the roll is taped down. When I tried to pick at the tape, there was immediately a hole in the first bag. I think because the bag is so thin, when the tape was lifted, it made a tear.",Works fine,1457395200,{'Size:': ' 60 Count'},
374249,5,,True,"05 16, 2016",A3EHT23TH5DJTF,B000FPJ7JK,Heidi,My dwarf hamsters and Gerbils love it,Five Stars,1463356800,{'Flavor Name:': ' Fruit'},
511073,5,,True,"11 28, 2014",AS9AWGWHW7AWC,B000VTRI32,Mama Cat,"I mix this food with Blue Buffalo Wilderness.  After having researched the food ratings, Wellness Core and Blue Buffalo Wilderness were both 5 stars out of 5.  I want to see which food the puppy likes best.  This is not as pricey as the Blue Buffalo Wilderness, but both are great!",I want to see which food the puppy likes best. This is not as pricey as the Blue ...,1417132800,"{'Size:': ' 4-Pound Bag', 'Flavor Name:': ' Puppy', 'Package Type:': ' Standard Packaging'}",
1999139,5,,True,"06 9, 2016",A3FZLI1UXCHJ3P,B0040IA7CO,anna k.,this is a great pet scale. My dog ( around 11 lbs) can sit on the top and wait for the scale to show me a readings. I use it every week to monitor her weight and love it.,this is a great pet scale,1465430400,,
